Serie;URL Imagen;Plataforma;Tipo;Descripción;Rating Promedio
ER;https://image.tmdb.org/t/p/w500/bYSE2ER5LZlUAC9RFakZELHGD4u.jpg;HBO Max;Drama;Urgencias fue una serie de televisión producida en Estados Unidos por la cadena NBC. Tiene un perfil dramático. Fue creada por el novelista Michael Crichton. Trata acerca de lo que ocurre en la sala de urgencias del hospital ficticio County General en Cook County, Chicago, Illinois, y de la compleja vida personal de los médicos que trabajan en ella.;7.8
24;https://image.tmdb.org/t/p/w500/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg;Amazon Prime Video;Acción;"24 es una serie de televisión estadounidense del género de acción/drama que trata fundamentalmente el desempeño del agente federal Jack Bauer (Kiefer Sutherland), en la UAT (Unidad antiterrorista) de Los Ángeles. La serie también se enfoca en las actividades de otros agentes de la UAT, la participación de otras agencias gubernamentales, las acciones de diversos grupos terroristas y las reacciones en la Casa Blanca.

En un formato innovador, el espectador presencia la acción ""en tiempo real"": cada episodio de una hora representa una hora continua de acción de la trama. Cada temporada (compuesta por 24 capítulos) conforma así un día completo. Las sucesivas temporadas (si bien guardan una relación temporal y fáctica) no son contiguas, y relatan eventos cronológicamente distantes.";7.8
House MD;https://image.tmdb.org/t/p/w500/lW7MvZ4m49IUj2UrUu4z0xVVl81.jpg;Amazon Prime Video;Drama;"House M. D. es un drama médico Estadounidense que se emitió originalmente por la cadena Fox durante ocho temporadas, desde el 16 de noviembre de 2004 al 21 de mayo de 2012. El protagonista de la serie es el Dr. Gregory House, un médico nada convencional, genio, misántropo y adicto a las drogas que dirige un equipo de diagnósticos en el ""Princeton-Plainsboro Teaching Hospital"" (nombre ficticio) en Nueva Jersey.";8.6
The Flash;https://image.tmdb.org/t/p/w500/7ci4qqkBJorLxSBwTj28vwh0bU.jpg;Netflix;Acción;Después de que un acelerador de partículas cause una extraña tormenta, al investigador científico de la policía, Barry Allen, le cae un rayo y entra en coma. Meses después despierta con el poder de moverse a súper velocidad permitiéndole ser el ángel de la guardia de Central City. Aunque al principio se siente entusiasmado con sus nuevos poderes, Barry descubre que no es el único “meta-humano” que se originó tras la explosión del acelerador – y no todo el mundo está usando sus nuevos poderes para el bien. Los compañeros del laboratorio STAR dedican su vida a ayudar a Barry a proteger a los inocentes. Por ahora, solo algunos amigos cercanos saben que Barry es, literalmente, el hombre más rápido del mundo, pero no pasará mucho hasta que el mundo conozca que ahora Barry Allen es … Flash.;7.8
Arrow;https://image.tmdb.org/t/p/w500/u8ZHFj1jC384JEkTt3vNg1DfWEb.jpg;Netflix;Acción;"Después de un violento naufragio y tras haber desaparecido y creído muerto durante cinco años, el multimillonario playboy Oliver Queen es rescatado con vida en una isla del Pacífico. De vuelta en casa en Starling City, es recibido por su madre, su hermana y su mejor amigo, quienes rápidamente notan que la terrible experiencia sufrida lo ha cambiado. Por otra parte, trata de ocultar la verdad acerca de en quién se ha convertido mientras trata de enmendar los errores que cometió en el pasado y de reconciliarse con su ex novia, Laurel Lance. Mientras trata de volver a contactar a las personas de su pasado jugando el papel del mujeriego adinerado, despreocupado y descuidado que solía ser, ayudado por su fiel chofer y guardaespaldas John Diggle, crea en secreto el personaje de un justiciero encapuchado, un vigilante que lucha contra los males de la sociedad tratando de darle a su ciudad la gloria que antes tenía; complicando esta misión.";6.8
Supernatural;https://image.tmdb.org/t/p/w500/58Qaj36FZDz54H36LsUI8mGiW9y.jpg;Amazon Prime Video;Drama;Cuando eran niños, Sam y Dean Winchester, perdieron a su madre debido a una misteriosa y demoníaca fuerza supernatural. Posteriormente, su padre los crió para que fueran soldados. Él les enseño sobre el mal que vive en los rincones obscuros y en las carreteras secundarias de América... y también les enseñó como matarlo. Ahora los hermanos Winchester recorren el país en su Chevy Impala del '67, luchando contra todo tipo de amenaza sobrenatural que encuentran en el camino.;8.3
Legends of Tomorrow;https://image.tmdb.org/t/p/w500/RChURu0ZBfHQ5f5t3aDJiq0M4s.jpg;Netflix;Acción;Después de haber visto el futuro, el viajero del tiempo Rip Hunter tratará desesperadamente de evitarlo logrando la tarea de reunir a un dispar grupo de héroes y villanos para enfrentar una amenaza imparable, en la que no solo la seguridad del planeta está en juego sino el tiempo mismo.;7.3
Daredevil;https://image.tmdb.org/t/p/w500/zdjmPOMNlDpmqXLgNaGBT7jAiFj.jpg;Disney+;Acción;'Daredevil' es una serie cargada de acción que sigue las aventuras de Matt Murdock -abogado de día y superhéroe de noche- en el barrio de la ciudad de Nueva York conocido como Hell’s Kitchen. Matt quedó ciego tras un accidente de niño, pero ahora tiene los otros cuatro sentidos incrementados y se dedica a luchar contra la injusticia como el superhéroe Daredevil.;8.2
Jessica Jones;https://image.tmdb.org/t/p/w500/b3EVT7sSX8Y8L3OekYWyKLRS1Jt.jpg;Disney+;Acción;Jessica Jones, es una serie de televisión estadounidense creada por Netflix y basada en el personaje del mismo nombre de los cómics de Marvel. Una mujer con superpoderes decide renegar de ellos e iniciar una vida nueva ejerciendo como detective privada.;7.5
Luke Cage;https://image.tmdb.org/t/p/w500/6R62oGGufhsf6DiMknCi047N0b7.jpg;Disney+;Acción;Un expresidiario encapuchado y de piel impenetrable lucha por limpiar su nombre y salvar su barrio. Él no buscaba pelea, pero la gente necesita un héroe.;6.9
Iron Fist;https://image.tmdb.org/t/p/w500/ywrvjIgK5K9Ff8RddgdFI3kfDqT.jpg;Disney+;Acción;Danny Rand reaparece 15 años después de ser dado por muerto. Ahora, armado con un increíble poder, tratará de recuperar su pasado y cumplir su destino.;6.5
The Punisher;https://image.tmdb.org/t/p/w500/8OdIbo68mFE4w6jXA20aL8ocPsE.jpg;Disney+;Acción;Un antiguo marine decidido a castigar a los asesinos de su familia termina atrapado en una conspiración militar.;8.1
Agents of S.H.I.E.L.D.;https://image.tmdb.org/t/p/w500/dW0qrzdW0XaxuK8hCVXLOh9H0Hl.jpg;Disney+;Acción;"El agente Phil Coulson, de la película ""Los vengadores"", regresa para liderar a un pequeño grupo de agentes altamente capacitados en el campo.";7.5
Fringe;https://image.tmdb.org/t/p/w500/cp1T5g1bVkxFciXR10kiiS381qt.jpg;Amazon Prime Video;Ciencia ficción;La agente del FBI Olivia Dunham y su jefe, el agente Broyles, se encargan de esclarecer fenómenos inexplicables. En sus investigaciones, cuentan con la ayuda del doctor Bishop, un científico despistado que sabe más de lo que parece, y de su hijo Peter.;8.1
Battlestar Galactica;https://image.tmdb.org/t/p/w500/vQuR5L1TcKPmfZu7NpiZAcGGcxJ.jpg;Amazon Prime Video;Ciencia ficción;"Reinvención de la serie con el mismo nombre de 1978, creada por Glen A. Larson. La historia se sitúa en un sistema lejano del universo, donde la civilización humana vive en un grupo de planetas conocidos como las doce Colonias. En el pasado estuvieron en guerra contra los Cylon, una raza cibernética creada por ellos mismos. Inesperadamente ese viejo enemigo reaparece lanzando un ataque que devasta a casi toda la población humana de los planetas. Battlestar Galactica parece ser la única nave superviviente de la Flota Colonial. Así, bajo el liderazgo del comandante William ""Bill"" Adama y la nueva presidenta, Laura Roslin, la tripulación de Battlestar Galactica asume la tarea de guiar a lo que queda de la raza humana por el espacio, en busca de un refugio legendario, conocido como Tierra.";8.2
Star Trek: Discovery;https://image.tmdb.org/t/p/w500/xwpOHgym48Ftz7fbJq5te5xoiwu.jpg;Paramount+;Ciencia ficción;La emblemática saga vuelve con una serie fresca, con nuevos personajes y una nueva nave. Su misión: explorar nuevos mundos y dar esperanzas a las futuras generaciones.;7
Star Trek: Picard;https://image.tmdb.org/t/p/w500/bONYUEn7iMFCebhDuqNG7hqqwoO.jpg;Paramount+;Ciencia ficción;"Serie ambientada 18 años después de la última aparición de Jean-Luc Picard en ""Star Trek: Nemesis"", y encuentra al personaje profundamente afectado por la destrucción de Romulus como se muestra en la película ""Star Trek"" (2009).";7.3
Star Trek: Strange New Worlds;https://image.tmdb.org/t/p/w500/w6KapI2JvrCkOPmQhkwYPJNjqeo.jpg;Paramount+;Ciencia ficción;El capitán Pike, el oficial científico Spock y Number One exploran nuevos mundos alrededor de la galaxia a bordo de la USS Enterprise.;8.1
The West Wing;https://image.tmdb.org/t/p/w500/l9Nu2p9kg9xdEqxvrMpv483EFoH.jpg;Amazon Prime Video;Drama;El presidente demócrata Josiah Bartlet lidera una de las naciones más poderosas del mundo con la devoción y la convicción de creer fervientemente en que lo que hace es lo mejor para su país. La serie se desarrolla, fundamentalmente, en los pasillos, despachos y salas de la Casa Blanca, mostrándonos los entresijos del febril trabajo que allí tiene lugar y los problemas diarios a los que se han de enfrentar. Es en esta atmósfera de conflicto donde el equipo de la Casa Blanca va a tener que esforzarse hasta límites insospechados para seguir defendiendo su credibilidad de cara a las reelecciones y a los Estados Unidos de amenazas externas.;8.3
The Newsroom;https://image.tmdb.org/t/p/w500/sPGLPCV7LapdRGXAoGvFwRhb8zD.jpg;HBO Max;Drama;The tumultuous TV newsroom world of overbearing regional news director George Findlay, who is solely motivated by casualty statistics which will improve his ratings.;8
Billions;https://image.tmdb.org/t/p/w500/bD8I9H67IOOLojcG2INUbhL7vRZ.jpg;Amazon Prime Video;Drama;"El fiscal Chuck Rhoades inicia una cruzada contra Bobby ""Axe"" Axelrod, un titán de las altas finanzas, dando así inicio a una batalla entre dos de las figuras más poderosas de Nueva York.";7.7
Mr. Robot;https://image.tmdb.org/t/p/w500/mXxD21JhhW3kRGCSFifWs2xJXbT.jpg;Amazon Prime Video;Drama;Sigue a un misterioso anarquista que recluta a un joven programador de computadoras (Malek) que sufre de un trastorno antisocial y se conecta a la gente pirateándolos.;8.3
The Blacklist;https://image.tmdb.org/t/p/w500/2jDYeTaDSIYnVOS4BD3d17JBkfP.jpg;Amazon Prime Video;Drama;El criminal más buscado del mundo, Thomas Raymond Reddington, se entrega misteriosamente y se ofrece a delatar a todos los que alguna vez han colaborado con él. Su única condición: sólo colaborará con Elisabeth King, una nueva agente del FBI, con quien parece tener alguna conexión que ella desconoce.;7.6
NCIS;https://image.tmdb.org/t/p/w500/i5dZG5SJ7NuApNneDDeJdz3k0Dl.jpg;Amazon Prime Video;Drama;Gibbs, agente especial del servicio de investigación criminal de la armada, dirige un equipo extravagante para resolver crímenes que van desde el terrorismo y el espionaje hasta el terrorismo.;7.6
CSI: Crime Scene Investigation;https://image.tmdb.org/t/p/w500/i5hmoRjHNWady4AtAGICTUXknKH.jpg;Amazon Prime Video;Drama;CSI: Crime Scene Investigation es una serie de televisión de ficción estadounidense transmitida por primera vez en los Estados Unidos por la cadena CBS. La serie se centra en torno a un grupo de científicos forenses y criminologos que trabajan en la ciudad estadounidense de Las Vegas (Nevada), investigando los crímenes que en ella suceden. La original fórmula de la serie y su éxito suscitó dos secuelas, CSI: Miami (2002-2012) y CSI: Nueva York (2004-2013), en torno a los equipos de científicos forenses de dichas ciudades, pero además influye en varias series posteriores relacionadas con la investigación criminal, como Bones o NCIS entre otras.;7.6
Law & Order: SVU;https://image.tmdb.org/t/p/w500/2Rk9me3Jlho02Y9RRTodfuiWULy.jpg;Amazon Prime Video;Drama;"‘Ley y Orden: Unidad de Víctimas Especiales’ es una serie de televisión estadounidense grabada en Nueva York donde es también principalmente producida. Con el estilo de la original ‘Ley y Orden’ los episodios son usualmente ""sacados de los titulares"" o basados libremente en verdaderos asesinatos que han recibido la atención de los medios.";7.9
The Good Wife;https://image.tmdb.org/t/p/w500/bN3KlymMHYNDrrpd7X0CsUw1h8G.jpg;Amazon Prime Video;Drama;The Good Wife es un drama protagonizado por Julianna Margulies como la esposa y madre que asume toda la responsabilidad de su familia entrando a trabajar después de que su esposo fue encarcelado por un escándalo político y sexual. Alicia Florrick hizo a un lado la humillación que le causó su esposo Peter e inició una nueva vida siguiendo su carrera como abogada de defensa en una de las firmas de abogados más respetadas en Chicago.;7.6
Big Little Lies;https://image.tmdb.org/t/p/w500/b4HNJOc2N6SGyEhf2RagdpAKBK6.jpg;HBO Max;Drama;Una oscura y misteriosa historia sobre tres madres (Madeline, Celeste y Jane) del norte de California cuyas vidas, aparentemente perfectas, se ven sorprendidas por un asesinato durante un evento para recaudar fondos del colegio de primaria. Celeste es una mujer con una vida familiar perfecta y un esposo ejemplar. Sin embargo, luchará por conseguir algo que le quita el sueño todas las noches. Madeline es una madre atrevida, divertida, pero tendrá que soportar que su exmarido y su actual mujer vivan en la misma ciudad que ella. Por su parte, Jane, una madre soltera y su llegada a la nueva ciudad no será todo lo placentera que pudiera imaginar.;7.9
Euphoria;https://image.tmdb.org/t/p/w500/6Sdm5XwdCnspdEF8fTFx6UJrl7o.jpg;HBO Max;Drama;Una reflexión sobre la adolescencia a través de un grupo de estudiantes de instituto que tienen que hacer frente a temas recurrentes de su edad, como la droga, el sexo y la violencia.;8.3
Stranger;https://image.tmdb.org/t/p/w500/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg;Netflix;Drama;A raíz de la desaparición de un niño, un pueblo desvela un misterio relacionado con experimentos secretos, fuerzas sobrenaturales aterradoras y una niña muy extraña.;8.6
Kingdom;https://image.tmdb.org/t/p/w500/xkRyopANOnO60KWm6DjozXlq9w4.jpg;Netflix;Drama;"Situada en Venice, California, Alvey ""King"" Kulina (Frank Grillo) dirige un gimnasio de artes marciales mixtas, mientras intenta educar a su hijo mayor, Jay (Jonathan Tucker) y formar a su hijo menor, Nate (Nick Jonas). ";6.9
Hannibal;https://image.tmdb.org/t/p/w500/pbV2eLnKSIm1epSZt473UYfqaeZ.jpg;Netflix;Terror;Hannibal es una serie de televisión estadounidense desarrollada por Bryan Fuller para la NBC. La serie trata sobre personajes de la novela Dragón Rojo de Thomas Harris y se centra en la relación amistosa entre el investigador especial del FBI Will Graham y el Dr. Hannibal Lecter, un psiquiatra forense destinado a ser el némesis de Graham.;8.2
Bates Motel;https://image.tmdb.org/t/p/w500/xXKcfZE7ulYxgjjYv51s0zDG69s.jpg;Netflix;Terror;Precuela contemporánea de la película Psicosis, que nos hace un retrato íntimo de cómo se desarrolla la psique de Norman Bates durante sus años de adolescencia. Los fans descubrirán su historia de trasfondo oscuro y retorcido y conocerán de primera mano cuán profundamente intrincada es la relación con su madre, Norma, y cómo ello ayudó a forjar a uno de los asesinos en serie más famoso de todos los tiempos.;8.1
Deadwood;https://image.tmdb.org/t/p/w500/4Yp35DVbVOAWkfQUIQ7pbh3u0aN.jpg;HBO Max;Drama;"Deadwood recrea la historia de la ciudad homónima del Estado de Montana durante el siglo XIX. El pueblo de Deadwood, existente en la realidad, aún hoy mantiene vivo el recuerdo de sus primeros colonos buscadores de oro. La serie ofrece una buena combinación de personajes reales, tramas noveladas y leyendas que narran las vivencias de una ciudad sin ley en un territorio robado. La serie presenta temas clásicos del género del western: juegos de azar, tiroteos, ahorcamientos, duelos, indios y colonos, nómadas buscadores de o y las chicas del Salloon; sin dejar de lado a los míticos personajes sacados de la vida real como Calamity Jane o Wild Bill.";8.1
The Leftovers;https://image.tmdb.org/t/p/w500/ri8xr223xBb2TeHX3GKypvQPV2B.jpg;HBO Max;Drama;Cuando el 2% de la población mundial desaparece de forma literal y abrupta, sin explicación alguna, quedando sólo sus ropas en el sitio en el que sus cuerpos de evaporaron, el resto de la población de la Tierra comienza a intentar comprender lo que ha pasado, y sobre todo lo que se supone que deben hacer al respecto. Uno de estas personas es el jefe de la policía de un pequeño suburbio de Nueva York, padre de dos hijos, que trata de mantener cierta apariencia de normalidad.;7.6
Six Feet Under;https://image.tmdb.org/t/p/w500/Al4RjjnnTNyLEn5idIxl2zfqYV5.jpg;HBO Max;Drama;El día de Nochebuena, cuando Nathaniel Fisher esperaba la llegada de su hijo Nate, muere en un accidente de coche. La dominante madre del chico, Ruth, tiene una aventura. Su hermano David, un gay que no ha salido del armario, dirige el negocio familiar, y su hermana Claire es una problemática adolescente que consume drogas. La única persona aparentemente normal de la vida de Nate es Brenda, una apasionada mujer a la que conoce en un avión.;8.1
The Americans;https://image.tmdb.org/t/p/w500/w1UBlxEXhbKe8sp0fxFZh7MqTce.jpg;Amazon Prime Video;Drama;Drama de época cuyos protagonistas son un matrimonio de espías del KGB que, en los años 80, viven cerca de Washington DC y se hacen pasar por estadounidenses. Phillip y Elizabeth Jennings tienen dos hijos que no saben nada sobre la verdadera identidad de sus padres. Tendrán que afrontar situaciones muy difícles debido al recrudecimiento de la Guerra Fría durante la presidencia de Ronald Reagan. Otro problema no menor es la creciente afinidad que siente Phillip por el modo de vida americano.;7.9
Girls;https://image.tmdb.org/t/p/w500/ikyT3hnELofnYRsPIqVGgUhDbOT.jpg;HBO Max;Comedia;"Serie que describe la vida de un grupo de amigas veinteañeras que tratan de encontrar su camino profesional y sentimental en Nueva York. Su lema es: ""Viviendo su sueño. Un error cada vez"". Todo comienza cuando la aspirante a escritora Hannah recibe la visita de sus padres de Michigan anunciándole que a partir de ese momento no le van a dar más dinero para sus gastos, pues se graduó hace dos años y tiene que empezar a apañárselas sola.";6.3
Orange Is the New Black;https://image.tmdb.org/t/p/w500/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg;Netflix;Comedia;Las consecuencias de un antiguo delito le pasan factura a una rica neoyorquina que acaba en una cárcel para mujeres. Allí hace amistades y algún que otro enemigo.;7.7
Mr. Bean;https://image.tmdb.org/t/p/w500/8RzacJ668ozLFT0a5UNEoqm0SWw.jpg;Netflix;Comedia;"Mr. Bean es una serie animada del año 2002 basada en la serie británica del mismo nombre de los años 90, creada por Varga Studio. Se incluyen los personajes de la serie original: Mr. Bean, Irma Gobb, Teddy, y el conductor misterioso del Reliant Supervan; con la nueva introducción de la Sra. Wicket, la patrona de Mr. Bean, y su malvado gato Scrapper.";6.8
The IT Crowd;https://image.tmdb.org/t/p/w500/qZXkBoOUYzvKI4UCMzDQ5kqWHjh.jpg;Amazon Prime Video;Comedia;En un desordenado sótano en las entrañas de Industrias Reynholm habitan Roy y Moss, los componentes del Departamento de informática. Víctimas del desprecio y del escarnio de sus compañeros más guays, su mundo de servidores y cortafuegos se ve interrumpido por la llegada de Jen, su nueva jefa, que sabe tanto de ordenadores como un yak. ;8.2
